k.2,k.5,k.10
60515.0252025926,24859.3250961235,11639.0686107288
67073.7599573592,22974.9951640336,11215.2462937167
62419.0943636678,24507.5556262425,12617.3634196275
63713.8181024583,24181.3843587786,11687.3679777237
62801.7278635418,24653.4614669589,11904.9628159802
62175.9800809678,24228.2445723533,11711.2367488108
62415.8631291197,24097.7933581288,11809.5527183568
66096.703086209,23152.2826271852,11696.0158440324
63076.7821193729,24721.6288134284,12205.248443038
64433.4069517667,23847.6855853697,11950.4194261244
61921.3123418529,24374.0783235963,12161.7462106825
63448.3131803694,24353.7888135838,12204.8996848983
62443.884531787,24095.2512647364,12337.9191117556
62198.5792599027,24442.6028262399,11905.6767586432
65049.3562939023,23132.8957276572,12047.6454276493
62650.7190451122,23470.7801861176,11605.1903139236
63479.53216891,24219.0379952838,11712.1541034235
61338.3193836737,24521.3993663862,12144.5822466628
61709.043497363,23753.1073225849,11572.1397376732
62865.6468755326,24423.5933403643,11664.6127485765
58311.4455584006,24420.1584343386,12027.2379458243
60466.8637492566,24271.5157280867,11486.1163618304
64767.1371352939,24273.208304223,12021.0412026013
62099.6080603988,23771.9862324882,11688.1139985699
63883.7082793779,23744.6058956159,11848.4363073884
62965.780038814,23814.743902375,12093.7986351174
62504.0914940067,24059.9365647503,11963.1428382361
64894.1308422588,24196.4219244928,11893.353586596
59076.2971533274,25434.119351059,12027.3034028536
60706.0457583513,24461.0996265715,11753.0184827173
